                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.62329,                 3.2075,                0.21424,                0.54892,                   1.04,                0.95563,                0.96874,                0.98364,                 0.8154,                0.52235,                   0.55,                0.53838,                0.24868,                0.65008,                 3.9821,                0.03835,                 2.1498,                 1.1127,             0.00051706,             0.00051706,             0.00051706
                     57,                0.61072,                 2.9395,                0.21005,                0.53639,                  1.009,                0.95068,                0.99964,                0.98591,                0.81099,                0.47247,                    0.5,                0.48841,                 0.2317,                0.65133,                 4.1124,                0.02383,                  2.161,                  1.108,             0.00050606,             0.00050606,             0.00050606
                     58,                0.59983,                 3.0576,                0.20729,                0.53435,                 1.0169,                0.95163,                0.96905,                0.99045,                0.83112,                0.47286,                    0.5,                0.49295,                 0.2347,                0.62843,                 4.1124,                 0.0245,                  2.026,                  1.124,             0.00049506,             0.00049506,             0.00049506
                     59,                0.58836,                 3.0405,                 0.2115,                 0.4988,                 1.0196,                0.94595,                      1,                0.99273,                 0.8259,                0.52131,                   0.55,                0.52685,                0.26235,                 0.7911,                 4.0628,                0.03363,                 3.0314,                 1.2451,             0.00048406,             0.00048406,             0.00048406
                     60,                 0.6317,                 2.9974,                0.20299,                0.54949,                 1.0343,                0.93875,                 0.9656,                0.98136,                0.82224,                0.52214,                   0.55,                0.52767,                0.22624,                0.72455,                 4.1976,                0.04147,                 1.9701,                 1.1755,             0.00047306,             0.00047306,             0.00047306
                     61,                0.61743,                 3.0116,                0.20712,                0.54028,                 1.0534,                0.94044,                0.96323,                0.98818,                0.81849,                0.41066,                 0.4375,                0.41592,                0.21394,                0.65603,                 4.1217,                0.02747,                 1.6142,                 1.1293,             0.00046206,             0.00046206,             0.00046206
                     62,                 0.6182,                 2.9855,                0.22189,                0.53822,                 1.0452,                0.96106,                0.97117,                0.98591,                0.81424,                0.50571,                 0.5375,                0.51208,                0.23585,                0.63987,                 3.9357,                0.02415,                 1.8486,                 1.1219,             0.00045107,             0.00045107,             0.00045107
                     63,                0.58713,                 2.9799,                 0.2118,                0.50772,                 1.0277,                0.94647,                      1,                0.98591,                0.80799,                 0.5718,                    0.6,                0.59519,                0.26505,                0.53443,                 4.0371,                0.05188,                 2.0354,                 1.0121,             0.00044007,             0.00044007,             0.00044007
                     64,                0.59762,                 2.9865,                0.20506,                0.53307,                  1.031,                0.94983,                      1,                0.99273,                0.80714,                0.57347,                    0.6,                0.56614,                 0.2537,                0.65064,                 3.9474,                0.01714,                 2.3025,                 1.0931,             0.00042907,             0.00042907,             0.00042907
                     65,                0.58815,                 3.0722,                0.21101,                0.50134,                 1.0176,                0.95149,                0.99802,                0.99273,                0.82219,                0.56848,                    0.6,                0.54763,                0.26299,                0.68629,                  3.752,                  0.022,                 1.9512,                 1.1719,             0.00041807,             0.00041807,             0.00041807
                     66,                0.58175,                 2.9891,                0.20942,                0.49811,                 1.0124,                 0.9631,                0.96974,                0.98818,                0.81923,                0.52142,                   0.55,                0.50636,                0.25512,                0.69146,                 3.7734,                0.04474,                 1.7382,                 1.1631,             0.00040707,             0.00040707,             0.00040707
                     67,                0.57738,                  2.872,                0.19793,                0.49863,                 1.0166,                0.95212,                0.99206,                0.98364,                0.79489,                0.51578,                   0.55,                0.50159,                0.23981,                0.68758,                 3.9427,                0.02965,                 2.0524,                 1.1102,             0.00039607,             0.00039607,             0.00039607
                     68,                0.59555,                 2.7603,                0.20902,                0.50268,                 1.0174,                0.93346,                0.99827,                0.98818,                 0.8248,                0.56602,                    0.6,                0.59488,                0.25287,                0.60098,                  3.952,                  0.032,                 1.8916,                  1.079,             0.00038507,             0.00038507,             0.00038507
                     69,                 0.5812,                 2.8538,                0.20416,                0.49529,                 1.0222,                0.92393,                0.99966,                0.99045,                 0.8331,                 0.5704,                    0.6,                0.58351,                 0.2549,                0.65162,                 3.8798,                0.01585,                 1.5105,                 1.1156,             0.00037407,             0.00037407,             0.00037407
                     70,                0.56666,                 2.8577,                0.19187,                 0.4811,                0.99196,                0.93879,                0.99293,                0.98818,                0.81558,                0.51911,                   0.55,                0.51537,                0.25049,                0.71663,                  3.969,                0.01624,                 2.0594,                 1.1457,             0.00036307,             0.00036307,             0.00036307
                     71,                0.58206,                 2.7559,                0.19828,                0.50681,                 1.0176,                0.94871,                0.96895,                0.99045,                0.81216,                0.47039,                    0.5,                0.50367,                0.25099,                0.58255,                 3.9324,                0.04935,                 2.2104,                 1.0595,             0.00035208,             0.00035208,             0.00035208
                     72,                0.57002,                  2.838,                0.20897,                0.49288,                 1.0101,                0.96331,                0.95262,                0.98153,                0.82404,                0.51777,                   0.55,                0.54176,                0.25775,                0.67712,                 3.9358,                0.02215,                 2.2356,                 1.0749,             0.00034108,             0.00034108,             0.00034108
